date,value
05/02/2021,0.82
06/02/2021,0.82
07/02/2021,0.82
08/02/2021,0.85
09/02/2021,0.9
10/02/2021,0.95
11/02/2021,1.02
12/02/2021,1.07
13/02/2021,1.08
14/02/2021,1.08
15/02/2021,1.11
16/02/2021,1.17
17/02/2021,1.24
18/02/2021,1.3
09/02/2021,0
10/02/2021,0.01
17/02/2021,0.02
12/01/2021,0.71
13/01/2021,0.76
14/01/2021,0.82
15/01/2021,0.91
18/01/2021,1.12
19/01/2021,1.22
20/01/2021,1.29
21/01/2021,1.87
22/01/2021,1.99
25/01/2021,2.13
26/01/2021,2.19
27/01/2021,2.36
28/01/2021,2.41
29/01/2021,2.48
01/02/2021,2.58
02/02/2021,2.61
03/02/2021,2.65
04/02/2021,2.69
05/02/2021,2.76
08/02/2021,2.91
09/02/2021,2.97
10/02/2021,3.06
11/02/2021,3.14
12/02/2021,3.24
15/02/2021,3.37
16/02/2021,3.46
17/02/2021,3.52
18/02/2021,3.58
26/12/2020,0
04/02/2021,16.75
09/02/2021,20.71
10/02/2021,21.43
12/02/2021,23.65
17/02/2021,25.45
24/12/2020,0
25/12/2020,0.03
26/12/2020,0.04
27/12/2020,0.05
28/12/2020,0.05
29/12/2020,0.05
30/12/2020,0.05
31/12/2020,0.05
01/01/2021,0.05
02/01/2021,0.05
03/01/2021,0.05
04/01/2021,0.05
05/01/2021,0.05
06/01/2021,0.06
07/01/2021,0.06
08/01/2021,0.06
09/01/2021,0.06
10/01/2021,0.06
11/01/2021,0.06
12/01/2021,0.06
13/01/2021,0.06
14/01/2021,0.1
15/01/2021,0.12
16/01/2021,0.12
17/01/2021,0.12
18/01/2021,0.17
19/01/2021,0.27
20/01/2021,0.32
21/01/2021,0.34
22/01/2021,0.34
23/01/2021,0.34
24/01/2021,0.34
25/01/2021,0.35
26/01/2021,0.35
27/01/2021,0.35
28/01/2021,0.35
29/01/2021,0.35
30/01/2021,0.35
31/01/2021,0.35
01/02/2021,0.35
02/02/2021,0.42
03/02/2021,1.31
04/02/2021,2.23
05/02/2021,3.11
06/02/2021,3.25
07/02/2021,3.3
08/02/2021,4.51
09/02/2021,5.87
10/02/2021,7.32
11/02/2021,8.63
12/02/2021,9.82
13/02/2021,9.98
14/02/2021,10
15/02/2021,11.37
16/02/2021,12.43
15/12/2020,0.1
31/12/2020,0.31
09/01/2021,0.63
13/01/2021,0.69
20/01/2021,1.04
27/01/2021,1.58
31/01/2021,1.67
03/02/2021,2.17
09/02/2021,2.82
16/02/2021,0
17/02/2021,0
18/02/2021,0.02
24/12/2020,0
03/01/2021,0.05
08/01/2021,0.19
15/01/2021,0.49
18/01/2021,0.58
25/01/2021,0.94
01/02/2021,1.13
08/02/2021,1.47
15/02/2021,1.9
30/12/2020,0.19
03/01/2021,0.3
05/01/2021,0.34
07/01/2021,0.5
08/01/2021,0.61
09/01/2021,0.73
13/01/2021,0.84
14/01/2021,0.93
15/01/2021,1.01
16/01/2021,1.12
19/01/2021,1.32
22/01/2021,1.58
25/01/2021,1.7
29/01/2021,1.95
01/02/2021,2.04
03/02/2021,2.14
04/02/2021,2.33
09/02/2021,2.49
11/02/2021,2.75
15/02/2021,2.94
06/01/2021,0.45
10/01/2021,0.69
16/01/2021,1.17
23/01/2021,2.03
30/01/2021,2.91
06/02/2021,3.75
13/02/2021,5.07
27/12/2020,0.01
28/12/2020,0.03
29/12/2020,0.07
30/12/2020,0.1
31/12/2020,0.11
01/01/2021,0.11
02/01/2021,0.12
03/01/2021,0.13
04/01/2021,0.17
05/01/2021,0.21
06/01/2021,0.26
07/01/2021,0.34
08/01/2021,0.43
09/01/2021,0.45
10/01/2021,0.46
11/01/2021,0.56
12/01/2021,0.68
13/01/2021,0.81
14/01/2021,0.95
15/01/2021,1.08
16/01/2021,1.11
17/01/2021,1.14
18/01/2021,1.27
19/01/2021,1.41
20/01/2021,1.56
21/01/2021,1.72
22/01/2021,1.86
23/01/2021,1.9
24/01/2021,1.93
25/01/2021,2.05
26/01/2021,2.18
27/01/2021,2.3
28/01/2021,2.42
29/01/2021,2.55
30/01/2021,2.57
31/01/2021,2.59
01/02/2021,2.69
02/02/2021,2.82
03/02/2021,2.97
04/02/2021,3.13
05/02/2021,3.28
06/02/2021,3.31
07/02/2021,3.34
08/02/2021,3.48
09/02/2021,3.63
10/02/2021,3.8
11/02/2021,4
12/02/2021,4.19
13/02/2021,4.23
14/02/2021,4.25
15/02/2021,4.4
16/02/2021,4.55
17/02/2021,4.7
18/02/2021,4.85
27/12/2020,0.11
28/12/2020,0.15
29/12/2020,0.3
30/12/2020,0.5
31/12/2020,0.61
01/01/2021,0.65
02/01/2021,0.8
03/01/2021,0.9
04/01/2021,0.94
05/01/2021,1.18
06/01/2021,1.52
07/01/2021,1.82
08/01/2021,1.97
09/01/2021,2
10/01/2021,2.02
11/01/2021,2.03
12/01/2021,2.03
13/01/2021,2.25
14/01/2021,2.56
15/01/2021,2.83
16/01/2021,2.91
17/01/2021,2.96
18/01/2021,3.07
19/01/2021,3.15
20/01/2021,3.21
21/01/2021,3.27
22/01/2021,3.38
23/01/2021,3.52
24/01/2021,3.64
