month,Country,post_no,value_vacc
16/01/2021,United Kingdom,3,6.37
17/01/2021,Italy,1,1.99
17/01/2021,Mexico,1,0.37
17/01/2021,Oman,1,0.5
17/01/2021,Poland,2,1.24
17/01/2021,Romania,2,1.07
17/01/2021,Scotland,2,4.92
17/01/2021,Slovakia,2,1.16
17/01/2021,Turkey,3,0.84
17/01/2021,United Arab Emirates,3,19.04
17/01/2021,United Kingdom,3,6.65
18/01/2021,Italy,1,2.06
18/01/2021,Mexico,1,0.38
18/01/2021,Monaco,1,6.12
18/01/2021,Oman,1,0.52
18/01/2021,Poland,2,1.31
18/01/2021,Romania,2,1.22
18/01/2021,Scotland,2,5.28
18/01/2021,Slovakia,2,1.32
18/01/2021,Spain,3,1.92
18/01/2021,Turkey,3,0.99
18/01/2021,United Arab Emirates,3,19.93
18/01/2021,United Kingdom,3,6.96
19/01/2021,Italy,1,2.12
19/01/2021,Mexico,1,0.39
19/01/2021,Oman,1,0.55
19/01/2021,Poland,2,1.43
19/01/2021,Romania,2,1.4
19/01/2021,Scotland,2,5.75
19/01/2021,Slovakia,2,1.47
19/01/2021,Spain,3,2.07
19/01/2021,Turkey,3,1.13
19/01/2021,United Arab Emirates,3,20.88
19/01/2021,United Kingdom,3,7.47
19/01/2021,United States,3,4.7
20/01/2021,Italy,1,2.17
20/01/2021,Mexico,1,0.39
20/01/2021,Oman,1,0.58
20/01/2021,Poland,2,1.56
20/01/2021,Romania,2,1.6
20/01/2021,Scotland,2,6.21
20/01/2021,Slovakia,2,1.61
20/01/2021,Spain,3,2.19
20/01/2021,Turkey,3,1.25
20/01/2021,United Arab Emirates,3,21.85
20/01/2021,United Kingdom,3,8.01
20/01/2021,United States,3,4.94
21/01/2021,Italy,1,2.22
21/01/2021,Mexico,1,0.43
21/01/2021,Poland,2,1.7
21/01/2021,Romania,2,1.81
21/01/2021,Scotland,2,6.65
21/01/2021,Slovakia,2,1.75
21/01/2021,Spain,3,2.36
21/01/2021,Turkey,3,1.33
21/01/2021,United Arab Emirates,3,22.71
21/01/2021,United Kingdom,3,8.62
21/01/2021,United States,3,5.25
22/01/2021,Italy,1,2.27
22/01/2021,Mexico,1,0.48
22/01/2021,Poland,2,1.81
